,Country,Data
0,Belgium,"[{'GDP': 11658722590.99}, {'GDP': 12400145221.595}, {'GDP': 13264015675.3193}, {'GDP': 14260017387.0492}, {'GDP': 15960106680.6732}, {'GDP': 17371457607.9374}, {'GDP': 18651883472.4808}, {'GDP': 19992040788.4593}, {'GDP': 21376353113.475}, {'GDP': 23710735894.7022}, {'GDP': 26706196046.7931}, {'GDP': 29821661869.912}, {'GDP': 37209418018.5134}, {'GDP': 47743801490.3747}, {'GDP': 56033077879.0389}, {'GDP': 65678189097.2908}, {'GDP': 71113882967.6071}, {'GDP': 82839905458.6382}, {'GDP': 101246526194.441}, {'GDP': 116315456796.918}, {'GDP': 126829314388.191}, {'GDP': 104730018470.23}, {'GDP': 92095926187.5331}, {'GDP': 87184239053.2544}, {'GDP': 83349530159.1734}, {'GDP': 86268264148.3796}, {'GDP': 120018787249.413}, {'GDP': 149394404105.889}, {'GDP': 162299103675.261}, {'GDP': 164221056511.057}, {'GDP': 205331747947.851}, {'GDP': 210510999409.333}, {'GDP': 234781652446.675}, {'GDP': 224721795708.955}, {'GDP': 244884129491.198}, {'GDP': 288025588396.278}, {'GDP': 279201433224.756}, {'GDP': 252708051420.839}, {'GDP': 258528339631.029}, {'GDP': 258158533986.789}, {'GDP': 236204532891.1}, {'GDP': 236541297539.15}, {'GDP': 257157820440.429}, {'GDP': 317381715575.621}, {'GDP': 368537000248.324}, {'GDP': 385570948886.954}, {'GDP': 407918078032.869}, {'GDP': 470324254037.777}, {'GDP': 515223524241.98}, {'GDP': 481345929424.84}, {'GDP': 480951629493.033}, {'GDP': 522645519183.591}, {'GDP': 496181260258.3}, {'GDP': 521642714407.843}, {'GDP': 534678075827.361}, {'GDP': 462149679343.822}, {'GDP': 475739588764.759}, {'GDP': 501522868356.441}, {'GDP': 543410654016.602}, {'GDP': 533254518108.234}, {'GDP': 515332499627.861}]"
1,Bulgaria,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 19839230769.2308}, {'GDP': 19870000000.0}, {'GDP': 19342000000.0}, {'GDP': 16563666666.6667}, {'GDP': 17594944444.4444}, {'GDP': 17155421052.6316}, {'GDP': 20249294117.6471}, {'GDP': 28101000000.0}, {'GDP': 22555941176.4706}, {'GDP': 21988444444.4444}, {'GDP': 20632090909.0909}, {'GDP': 10943548387.0968}, {'GDP': 10350515463.9175}, {'GDP': 10829710144.9275}, {'GDP': 9697416974.16974}, {'GDP': 18983303571.4286}, {'GDP': 12294221472.7375}, {'GDP': 11315986087.1633}, {'GDP': 15030695296.5235}, {'GDP': 13627323284.5405}, {'GDP': 13245833843.5454}, {'GDP': 14183497963.1071}, {'GDP': 16402846413.0958}, {'GDP': 21144983551.6823}, {'GDP': 26157894736.8421}, {'GDP': 29869283400.0381}, {'GDP': 34379808888.6039}, {'GDP': 44405101469.5591}, {'GDP': 54438966419.8639}, {'GDP': 52023504656.2878}, {'GDP': 50381825504.2642}, {'GDP': 57386216850.3377}, {'GDP': 54033250328.5151}, {'GDP': 55615397665.5809}, {'GDP': 56901994980.3283}, {'GDP': 50647442756.7445}, {'GDP': 53806894796.3801}, {'GDP': 58971520599.2509}, {'GDP': 66230155099.5775}, {'GDP': 68558815111.6199}, {'GDP': 69105101089.5531}]"
2,Denmark,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 11931739858.7046}, {'GDP': 13059064374.6287}, {'GDP': 13505573866.6667}, {'GDP': 15414902266.6667}, {'GDP': 17075457600.0}, {'GDP': 19085731252.4407}, {'GDP': 23232379951.9376}, {'GDP': 30730626663.3606}, {'GDP': 34160444798.1099}, {'GDP': 40474406216.2821}, {'GDP': 44575892473.1183}, {'GDP': 49784338519.4563}, {'GDP': 60362931853.6249}, {'GDP': 70366241969.2074}, {'GDP': 71127528699.9414}, {'GDP': 61877813965.2413}, {'GDP': 60412844678.604}, {'GDP': 60644782176.0525}, {'GDP': 59105236853.7937}, {'GDP': 62658568287.3429}, {'GDP': 88078760103.8191}, {'GDP': 109414423928.775}, {'GDP': 115552846616.653}, {'GDP': 112409222182.704}, {'GDP': 138247285815.855}, {'GDP': 139224688814.195}, {'GDP': 152915654478.885}, {'GDP': 143195627014.605}, {'GDP': 156162386724.523}, {'GDP': 185006881515.065}, {'GDP': 187632346387.984}, {'GDP': 173537647058.824}, {'GDP': 176991934992.837}, {'GDP': 177965188354.692}, {'GDP': 164158739097.623}, {'GDP': 164791442543.375}, {'GDP': 178635163717.431}, {'GDP': 218096033517.009}, {'GDP': 251373002954.382}, {'GDP': 264467336457.17}, {'GDP': 282884947702.966}, {'GDP': 319423424509.066}, {'GDP': 353361038818.383}, {'GDP': 321241303699.006}, {'GDP': 321995279401.502}, {'GDP': 344003137611.271}, {'GDP': 327148943812.137}, {'GDP': 343584391647.927}, {'GDP': 352993631617.708}, {'GDP': 302673070846.857}, {'GDP': 313115929314.339}, {'GDP': 332121063806.391}, {'GDP': 356841216410.068}, {'GDP': 347561349210.979}, {'GDP': 356084867685.639}]"
3,Germany,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 215838448137.658}, {'GDP': 249985055484.303}, {'GDP': 299801542047.476}, {'GDP': 398374021953.897}, {'GDP': 445303484241.554}, {'GDP': 490636517211.225}, {'GDP': 519754453161.411}, {'GDP': 600498238019.035}, {'GDP': 740469983446.933}, {'GDP': 881345176608.686}, {'GDP': 950290856466.538}, {'GDP': 800472055387.278}, {'GDP': 776576439106.956}, {'GDP': 770684323247.798}, {'GDP': 725111123634.115}, {'GDP': 732534887058.198}, {'GDP': 1046259374943.71}, {'GDP': 1298176105549.51}, {'GDP': 1401233225303.49}, {'GDP': 1398967436804.33}, {'GDP': 1771671206875.68}, {'GDP': 1868945197407.19}, {'GDP': 2131571696931.75}, {'GDP': 2071323790370.28}, {'GDP': 2205074123177.05}, {'GDP': 2585792275146.72}, {'GDP': 2497244606186.64}, {'GDP': 2211989623279.95}, {'GDP': 2238990774702.68}, {'GDP': 2194204133816.32}, {'GDP': 1943145384190.16}, {'GDP': 1944107382550.34}, {'GDP': 2068624129493.69}, {'GDP': 2496128668171.56}, {'GDP': 2809187981127.39}, {'GDP': 2845802760850.64}, {'GDP': 2992196713084.93}, {'GDP': 3421229126745.14}, {'GDP': 3730027830672.33}, {'GDP': 3397791053070.3}, {'GDP': 3396354075663.73}, {'GDP': 3744408602683.94}, {'GDP': 3527344944139.83}, {'GDP': 3732743446218.92}, {'GDP': 3883920155292.26}, {'GDP': 3356235704119.75}, {'GDP': 3467498002104.33}, {'GDP': 3681732583768.5}, {'GDP': 3975347237442.99}, {'GDP': 3888326788627.44}, {'GDP': 3846413928653.71}]"
4,Estonia,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 4502970889.06373}, {'GDP': 4786018988.16491}, {'GDP': 5154420649.23354}, {'GDP': 5674080542.88575}, {'GDP': 5756912265.75809}, {'GDP': 5686579747.53524}, {'GDP': 6254649538.98487}, {'GDP': 7367975887.72723}, {'GDP': 9874013098.46432}, {'GDP': 12145911801.2422}, {'GDP': 14106790200.2239}, {'GDP': 17022870405.2189}, {'GDP': 22449129482.617}, {'GDP': 24341678628.9732}, {'GDP': 19633031397.6104}, {'GDP': 19523477325.6235}, {'GDP': 23183616045.5168}, {'GDP': 23020466784.6112}, {'GDP': 25108615091.9884}, {'GDP': 26598657880.5486}, {'GDP': 22881558191.8523}, {'GDP': 24056487770.898}, {'GDP': 26857880621.935}, {'GDP': 30474612057.4484}, {'GDP': 31045591753.4901}, {'GDP': 30650285471.7215}]"
5,Ireland,"[{'GDP': 1939329775.43739}, {'GDP': 2088012282.35667}, {'GDP': 2260349684.08625}, {'GDP': 2430843768.44553}, {'GDP': 2766608945.87402}, {'GDP': 2945704142.99765}, {'GDP': 3104034393.23162}, {'GDP': 3343636773.36759}, {'GDP': 3278584478.33023}, {'GDP': 3787077343.72783}, {'GDP': 4395995085.99509}, {'GDP': 5098250287.46646}, {'GDP': 6318060582.21873}, {'GDP': 7481173065.79201}, {'GDP': 7896860614.98803}, {'GDP': 9483808362.36934}, {'GDP': 9453756014.71837}, {'GDP': 11248340431.3779}, {'GDP': 14647996073.6937}, {'GDP': 18319334300.4513}, {'GDP': 21747855640.0712}, {'GDP': 20670190138.1671}, {'GDP': 21474752962.2178}, {'GDP': 20766047763.5314}, {'GDP': 20106648454.8404}, {'GDP': 21270013325.5601}, {'GDP': 28714571852.4799}, {'GDP': 33920518492.5094}, {'GDP': 37772896220.7559}, {'GDP': 39238392677.7542}, {'GDP': 49305632408.4929}, {'GDP': 49787501584.4847}, {'GDP': 55918538121.3989}, {'GDP': 52417477613.676}, {'GDP': 57097656065.96}, {'GDP': 69139823232.3232}, {'GDP': 75790786290.3226}, {'GDP': 82856648758.3572}, {'GDP': 90199410115.5097}, {'GDP': 98860565736.2029}, {'GDP': 99958806891.4686}, {'GDP': 109252057270.694}, {'GDP': 127985972143.798}, {'GDP': 164307961625.282}, {'GDP': 194015335237.149}, {'GDP': 211797991543.34}, {'GDP': 231986253920.462}, {'GDP': 269736375581.714}, {'GDP': 274326912260.144}, {'GDP': 235509465129.203}, {'GDP': 221659742984.75}, {'GDP': 238662833333.918}, {'GDP': 225509709550.982}, {'GDP': 238211547205.677}, {'GDP': 258625192663.58}, {'GDP': 291462799328.949}, {'GDP': 298725229419.215}, {'GDP': 334602299873.029}, {'GDP': 384853685231.018}, {'GDP': 399122063504.148}, {'GDP': 425888950992.003}]"
6,Greece,"[{'GDP': 4335186016.83942}, {'GDP': 4961400439.31722}, {'GDP': 5213047711.42704}, {'GDP': 5895278024.09202}, {'GDP': 6669673257.1183}, {'GDP': 7689154053.35866}, {'GDP': 8591517943.60129}, {'GDP': 9275600800.35644}, {'GDP': 10090675902.5364}, {'GDP': 11615657031.2387}, {'GDP': 13139863636.3636}, {'GDP': 14591750000.0}, {'GDP': 16885511363.6364}, {'GDP': 22347848101.2658}, {'GDP': 25351306818.1818}, {'GDP': 28525876726.8863}, {'GDP': 31152835820.8955}, {'GDP': 36176234967.6226}, {'GDP': 44270204081.6327}, {'GDP': 54481876724.931}, {'GDP': 56829664268.5851}, {'GDP': 52346506765.0676}, {'GDP': 54617989795.9184}, {'GDP': 49428873839.0093}, {'GDP': 48020024183.7969}, {'GDP': 47820851221.3175}, {'GDP': 56379593476.1441}, {'GDP': 65652750377.4535}, {'GDP': 76261277924.5736}, {'GDP': 79169043222.8284}, {'GDP': 97891092003.4394}, {'GDP': 105143232379.884}, {'GDP': 116224672863.783}, {'GDP': 108809059155.767}, {'GDP': 116601801966.292}, {'GDP': 136878365936.167}, {'GDP': 145861612400.906}, {'GDP': 143157600149.757}, {'GDP': 144428172489.335}, {'GDP': 142540728744.939}, {'GDP': 130133845586.88}, {'GDP': 136191353914.989}, {'GDP': 153830946734.425}, {'GDP': 201924269751.693}, {'GDP': 240521261484.976}, {'GDP': 247783002114.165}, {'GDP': 273317736795.885}, {'GDP': 318497937311.799}, {'GDP': 354460802695.181}, {'GDP': 330000251458.739}, {'GDP': 296835346570.223}, {'GDP': 282625610892.477}, {'GDP': 242053529231.146}, {'GDP': 238484046041.178}, {'GDP': 235295470067.176}, {'GDP': 195317994377.197}, {'GDP': 192732474229.218}, {'GDP': 199630819054.302}, {'GDP': 212146107548.996}, {'GDP': 205326724570.227}, {'GDP': 189410106620.016}]"
7,Spain,"[{'GDP': 12072126075.397}, {'GDP': 13834300571.4849}, {'GDP': 16138545209.246}, {'GDP': 19074913947.7196}, {'GDP': 21343844643.7341}, {'GDP': 24756958694.9238}, {'GDP': 28721062242.1634}, {'GDP': 31647119228.1982}, {'GDP': 31475548481.4095}, {'GDP': 36038711599.541}, {'GDP': 40992995008.3195}, {'GDP': 46619420359.2814}, {'GDP': 59132415221.3306}, {'GDP': 78639525985.1513}, {'GDP': 97274006345.5437}, {'GDP': 114777046376.812}, {'GDP': 118507184779.905}, {'GDP': 132449277108.434}, {'GDP': 160599687500.0}, {'GDP': 214601955875.062}, {'GDP': 232766822928.754}, {'GDP': 202807891511.984}, {'GDP': 195996754505.528}, {'GDP': 170951185614.849}, {'GDP': 172102910370.524}, {'GDP': 180793463796.477}, {'GDP': 251321075204.942}, {'GDP': 318747935588.196}, {'GDP': 376160409941.437}, {'GDP': 414757056921.996}, {'GDP': 536558591250.408}, {'GDP': 577166174539.632}, {'GDP': 630916018202.503}, {'GDP': 525075636030.854}, {'GDP': 530562634455.347}, {'GDP': 614609020549.773}, {'GDP': 642588992512.807}, {'GDP': 590077272727.273}, {'GDP': 619214834614.099}, {'GDP': 634693160025.57}, {'GDP': 596877648793.072}, {'GDP': 627286800894.855}, {'GDP': 705394315829.098}, {'GDP': 905492099322.799}, {'GDP': 1067093369754.16}, {'GDP': 1153285660987.44}, {'GDP': 1259343871534.31}, {'GDP': 1472131125102.66}, {'GDP': 1625224842536.99}, {'GDP': 1485583495415.39}, {'GDP': 1420722034063.0}, {'GDP': 1478772824224.03}, {'GDP': 1324820091194.67}, {'GDP': 1354757433212.72}, {'GDP': 1369398844599.58}, {'GDP': 1195119269971.52}, {'GDP': 1232076017361.53}, {'GDP': 1309297246509.31}, {'GDP': 1420300232663.59}, {'GDP': 1393046093137.25}, {'GDP': 1281484640043.58}]"
8,France,"[{'GDP': 62225478000.8822}, {'GDP': 67461644222.0352}, {'GDP': 75607529809.9288}, {'GDP': 84759195105.8693}, {'GDP': 94007851047.3678}, {'GDP': 101537248148.427}, {'GDP': 110045852177.928}, {'GDP': 118972977486.207}, {'GDP': 129785441507.456}, {'GDP': 141903068680.309}, {'GDP': 148456359985.827}, {'GDP': 165966615366.402}, {'GDP': 203494148244.473}, {'GDP': 264429876252.21}, {'GDP': 285552373158.756}, {'GDP': 360832186018.051}, {'GDP': 372319038514.067}, {'GDP': 410279486493.715}, {'GDP': 506707848837.209}, {'GDP': 613953129818.07}, {'GDP': 701288419745.421}, {'GDP': 615552202776.101}, {'GDP': 584877732308.614}, {'GDP': 559869179791.72}, {'GDP': 530683779929.445}, {'GDP': 553138414367.061}, {'GDP': 771470783218.108}, {'GDP': 934173305685.911}, {'GDP': 1018847043277.17}, {'GDP': 1025211803413.53}, {'GDP': 1269179616913.63}, {'GDP': 1269276828275.78}, {'GDP': 1401465923172.24}, {'GDP': 1322815612694.0}, {'GDP': 1393982750472.59}, {'GDP': 1601094756209.75}, {'GDP': 1605675086549.56}, {'GDP': 1452884917959.09}, {'GDP': 1503108739159.44}, {'GDP': 1492647560196.04}, {'GDP': 1362248940482.77}, {'GDP': 1376465324384.79}, {'GDP': 1494286655373.61}, {'GDP': 1840480812641.08}, {'GDP': 2115742488204.62}, {'GDP': 2196126103718.44}, {'GDP': 2318593651988.46}, {'GDP': 2657213249384.07}, {'GDP': 2918382891460.38}, {'GDP': 2690222283967.77}, {'GDP': 2642609548930.36}, {'GDP': 2861408170264.6}, {'GDP': 2683825225092.63}, {'GDP': 2811077725703.59}, {'GDP': 2852165760630.27}, {'GDP': 2438207896251.84}, {'GDP': 2471285607081.72}, {'GDP': 2588740901639.81}, {'GDP': 2789593979064.58}, {'GDP': 2728870246705.88}, {'GDP': 2630317731455.26}]"
9,Croatia,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 22534512415.0677}, {'GDP': 23846613059.0861}, {'GDP': 23869311078.8458}, {'GDP': 25562732258.151}, {'GDP': 23456897701.0044}, {'GDP': 21633759450.7898}, {'GDP': 23054778851.2787}, {'GDP': 26813968850.5192}, {'GDP': 34682900712.6654}, {'GDP': 41587470546.7946}, {'GDP': 45376744001.8044}, {'GDP': 50423077102.0764}, {'GDP': 60073426976.5069}, {'GDP': 70234425974.0453}, {'GDP': 62600093958.9538}, {'GDP': 59918313669.1671}, {'GDP': 62537851352.4904}, {'GDP': 56580819623.8529}, {'GDP': 58194069434.1423}, {'GDP': 57639588805.5871}, {'GDP': 49525747503.8149}, {'GDP': 51601147665.8089}, {'GDP': 55481644098.0495}, {'GDP': 61375222347.0256}, {'GDP': 60752588976.3175}, {'GDP': 55966581780.1688}]"
10,Italy,"[{'GDP': 40385288344.1911}, {'GDP': 44842760293.1924}, {'GDP': 50383891898.9911}, {'GDP': 57710743059.8341}, {'GDP': 63175417019.0094}, {'GDP': 67978153850.5191}, {'GDP': 73654870011.2757}, {'GDP': 81133120065.4202}, {'GDP': 87942231678.3505}, {'GDP': 97085082807.3751}, {'GDP': 113395315985.13}, {'GDP': 124672365792.759}, {'GDP': 145260039840.637}, {'GDP': 175492055795.417}, {'GDP': 199564489431.378}, {'GDP': 227695851126.928}, {'GDP': 224717278436.846}, {'GDP': 257596313364.055}, {'GDP': 315058323066.393}, {'GDP': 393677161500.816}, {'GDP': 477256775943.929}, {'GDP': 430702851303.015}, {'GDP': 427272645669.291}, {'GDP': 443042373788.883}, {'GDP': 437887689001.543}, {'GDP': 452217492140.757}, {'GDP': 640386352773.087}, {'GDP': 805713128174.485}, {'GDP': 891608957155.608}, {'GDP': 928661332204.347}, {'GDP': 1181222653522.95}, {'GDP': 1246220156079.29}, {'GDP': 1320161644933.23}, {'GDP': 1064958075550.63}, {'GDP': 1099216688280.5}, {'GDP': 1174662070605.02}, {'GDP': 1312426527795.21}, {'GDP': 1241879604365.62}, {'GDP': 1270052525928.4}, {'GDP': 1252023758789.69}, {'GDP': 1143829832319.88}, {'GDP': 1167012796420.58}, {'GDP': 1270712309429.7}, {'GDP': 1574145823927.77}, {'GDP': 1803226967966.23}, {'GDP': 1857524312896.41}, {'GDP': 1947919708944.93}, {'GDP': 2210292636189.43}, {'GDP': 2398856598798.89}, {'GDP': 2191241872742.43}, {'GDP': 2134017843247.16}, {'GDP': 2291991045770.29}, {'GDP': 2087077032435.15}, {'GDP': 2141315327318.21}, {'GDP': 2159133919743.77}, {'GDP': 1835899237320.04}, {'GDP': 1875797463583.87}, {'GDP': 1956950469673.29}, {'GDP': 2091117091124.1}, {'GDP': 2004913357800.0}, {'GDP': 1886445268340.71}]"
11,Cyprus,"[{'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': nan}, {'GDP': 489914760.682807}, {'GDP': 576090073.715036}, {'GDP': 734887973.975806}, {'GDP': 964026512.197839}, {'GDP': 1288715209.58084}, {'GDP': 2154311276.94859}, {'GDP': 2087496373.77964}, {'GDP': 2159242416.76942}, {'GDP': 2160364071.19021}, {'GDP': 2278248953.14058}, {'GDP': 2430411900.19194}, {'GDP': 3090734463.27684}, {'GDP': 3704813885.50548}, {'GDP': 4278792597.23965}, {'GDP': 4563482603.5503}, {'GDP': 5591130217.66965}, {'GDP': 5770197348.48485}, {'GDP': 6912150456.32334}, {'GDP': 6590291048.29211}, {'GDP': 7425703928.57143}, {'GDP': 9933133247.08926}, {'GDP': 10011918444.1656}, {'GDP': 9547818700.11403}, {'GDP': 10248617647.0588}, {'GDP': 10497908306.3646}, {'GDP': 9985844486.33365}, {'GDP': 10397897085.6102}, {'GDP': 11420227884.6154}, {'GDP': 14547325028.3126}, {'GDP': 17320552500.0}, {'GDP': 18433411267.2553}, {'GDP': 20072786350.5206}, {'GDP': 23968764029.5647}, {'GDP': 27844698989.3072}, {'GDP': 25945391775.4932}, {'GDP': 25732432719.0773}, {'GDP': 27565469097.9955}, {'GDP': 24978513426.6992}, {'GDP': 23900872625.8467}, {'GDP': 23156850006.6427}, {'GDP': 19842404304.8929}, {'GDP': 20953442550.3653}, {'GDP': 22729184365.1152}, {'GDP': 25309818138.8758}, {'GDP': 24949065263.6292}, {'GDP': 23804340376.9275}]"
